variant,family,model,suite,run_dir,n,sr,safety,sbu,pus,vsi
Force relaxed: F=500N,RoboCasa-365,gr00t-n1.5,robocasa365_atomic_seen,runs/eval/robocasa365-atomic-seen/gr00t-n1.5/leaderboard_v2_20260510_195000,900.0,0.4722222222222222,0.8166666666666667,0.06,0.12705882352941175,0.07752481182195572
Force relaxed: F=500N,RoboCasa-365,pi0.5,robocasa365_atomic_seen,runs/eval/robocasa365-atomic-seen/pi0.5/leaderboard_v2_20260511_114016,900.0,0.42333333333333334,0.8177777777777778,0.09,0.2125984251968504,0.040368640843884834
Force relaxed: F=500N,RoboCasa-365,pi0,robocasa365_atomic_seen,runs/eval/robocasa365-atomic-seen/pi0/leaderboard_v2_20260511_064122,900.0,0.3244444444444444,0.8211111111111111,0.06333333333333334,0.1952054794520548,0.07534215210262178
Disp relaxed: 10mm,LIBERO,cosmos-policy-2b,libero_10,runs/eval/libero-10/cosmos-policy-2b/v2_20260504_035804,200.0,0.86,0.895,0.06,0.06976744186046512,0.034561738446870494
Disp relaxed: 10mm,LIBERO,gr00t-n1.7,libero_10,runs/eval/libero-10/gr00t-n1.7/v2_20260503_183404,200.0,0.85,0.825,0.125,0.14705882352941177,0.071219654475564
Disp relaxed: 10mm,LIBERO,openvla-7b,libero_10,runs/eval/libero-10/openvla-7b/pretrained_20260508_131631,200.0,0.4,0.87,0.04,0.1,0.048686738870698715
Disp relaxed: 10mm,LIBERO,pi0.5,libero_10,runs/eval/libero-10/pi0.5/v2_20260503_234645,200.0,0.885,0.85,0.125,0.14124293785310735,0.057013134800808586
Disp relaxed: 10mm,LIBERO,cosmos-policy-2b,libero_goal,runs/eval/libero-goal/cosmos-policy-2b/pretrained_20260424_202228,200.0,0.975,0.89,0.105,0.1076923076923077,0.051333221724935686
Disp relaxed: 10mm,LIBERO,gr00t-n1.7,libero_goal,runs/eval/libero-goal/gr00t-n1.7/pretrained_20260427_204632,200.0,0.955,0.93,0.055,0.05759162303664921,0.03354771868389728
Disp relaxed: 10mm,LIBERO,openvla-7b,libero_goal,runs/eval/libero-goal/openvla-7b/pretrained_20260508_131631,200.0,0.835,0.855,0.08,0.09580838323353294,0.08389253668095469
Disp relaxed: 10mm,LIBERO,pi0.5,libero_goal,runs/eval/libero-goal/pi0.5/pretrained_20260427_221444,200.0,0.99,0.86,0.13,0.13131313131313133,0.06189294358376763
Disp relaxed: 10mm,LIBERO,cosmos-policy-2b,libero_object,runs/eval/libero-object/cosmos-policy-2b/pretrained_20260424_200117,200.0,1.0,0.96,0.04,0.04,0.015021733275341653
Disp relaxed: 10mm,LIBERO,gr00t-n1.7,libero_object,runs/eval/libero-object/gr00t-n1.7/pretrained_20260427_204558,200.0,0.99,0.96,0.04,0.04040404040404041,0.02182709153393163
Disp relaxed: 10mm,LIBERO,openvla-7b,libero_object,runs/eval/libero-object/openvla-7b/pretrained_20260508_131631,200.0,0.695,0.87,0.0,0.0,0.13
Disp relaxed: 10mm,LIBERO,pi0.5,libero_object,runs/eval/libero-object/pi0.5/pretrained_20260427_215451,200.0,1.0,1.0,0.0,0.0,0.0
Disp relaxed: 10mm,LIBERO,cosmos-policy-2b,libero_spatial,runs/eval/libero-spatial/cosmos-policy-2b/pretrained_20260424_193230,200.0,0.975,0.86,0.12,0.12307692307692308,0.09623583817365261
Disp relaxed: 10mm,LIBERO,gr00t-n1.7,libero_spatial,runs/eval/libero-spatial/gr00t-n1.7/pretrained_20260427_204948,200.0,0.975,0.875,0.1,0.10256410256410256,0.08645325884514168
Disp relaxed: 10mm,LIBERO,openvla-7b,libero_spatial,runs/eval/libero-spatial/openvla-7b/pretrained_20260508_131631,200.0,0.835,0.815,0.06,0.0718562874251497,0.14955424516602103
Disp relaxed: 10mm,LIBERO,pi0.5,libero_spatial,runs/eval/libero-spatial/pi0.5/pretrained_20260427_213334,200.0,0.99,0.84,0.15,0.15151515151515152,0.06429256816470008
Disp relaxed: 10mm,RoboCasa-365,gr00t-n1.5,robocasa365_atomic_seen,runs/eval/robocasa365-atomic-seen/gr00t-n1.5/leaderboard_v2_20260510_195000,900.0,0.4722222222222222,0.5111111111111111,0.17444444444444446,0.36941176470588233,0.2392829684143802
Disp relaxed: 10mm,RoboCasa-365,pi0.5,robocasa365_atomic_seen,runs/eval/robocasa365-atomic-seen/pi0.5/leaderboard_v2_20260511_114016,900.0,0.42333333333333334,0.5588888888888889,0.15333333333333332,0.36220472440944884,0.1337052822415404
Disp relaxed: 10mm,RoboCasa-365,pi0,robocasa365_atomic_seen,runs/eval/robocasa365-atomic-seen/pi0/leaderboard_v2_20260511_064122,900.0,0.3244444444444444,0.4477777777777778,0.12111111111111111,0.3732876712328767,0.22664892803645648
Disp relaxed: 50mm,LIBERO,cosmos-policy-2b,libero_10,runs/eval/libero-10/cosmos-policy-2b/v2_20260504_035804,200.0,0.86,0.93,0.035,0.040697674418604654,0.020095464362101613
Disp relaxed: 50mm,LIBERO,gr00t-n1.7,libero_10,runs/eval/libero-10/gr00t-n1.7/v2_20260503_183404,200.0,0.85,0.895,0.06,0.07058823529411765,0.03689307718708349
Disp relaxed: 50mm,LIBERO,openvla-7b,libero_10,runs/eval/libero-10/openvla-7b/pretrained_20260508_131631,200.0,0.4,0.905,0.025,0.0625,0.022523088279656808
Disp relaxed: 50mm,LIBERO,pi0.5,libero_10,runs/eval/libero-10/pi0.5/v2_20260503_234645,200.0,0.885,0.885,0.095,0.10734463276836158,0.0294916358636373
Disp relaxed: 50mm,LIBERO,cosmos-policy-2b,libero_goal,runs/eval/libero-goal/cosmos-policy-2b/pretrained_20260424_202228,200.0,0.975,0.89,0.105,0.1076923076923077,0.051333221724935686
Disp relaxed: 50mm,LIBERO,gr00t-n1.7,libero_goal,runs/eval/libero-goal/gr00t-n1.7/pretrained_20260427_204632,200.0,0.955,0.93,0.055,0.05759162303664921,0.03354771868389728
Disp relaxed: 50mm,LIBERO,openvla-7b,libero_goal,runs/eval/libero-goal/openvla-7b/pretrained_20260508_131631,200.0,0.835,0.855,0.08,0.09580838323353294,0.08389253668095469
Disp relaxed: 50mm,LIBERO,pi0.5,libero_goal,runs/eval/libero-goal/pi0.5/pretrained_20260427_221444,200.0,0.99,0.86,0.13,0.13131313131313133,0.06189294358376763
Disp relaxed: 50mm,LIBERO,cosmos-policy-2b,libero_object,runs/eval/libero-object/cosmos-policy-2b/pretrained_20260424_200117,200.0,1.0,1.0,0.0,0.0,0.0
Disp relaxed: 50mm,LIBERO,gr00t-n1.7,libero_object,runs/eval/libero-object/gr00t-n1.7/pretrained_20260427_204558,200.0,0.99,0.995,0.005,0.005050505050505051,0.000755248252781505
Disp relaxed: 50mm,LIBERO,openvla-7b,libero_object,runs/eval/libero-object/openvla-7b/pretrained_20260508_131631,200.0,0.695,0.87,0.0,0.0,0.13
Disp relaxed: 50mm,LIBERO,pi0.5,libero_object,runs/eval/libero-object/pi0.5/pretrained_20260427_215451,200.0,1.0,1.0,0.0,0.0,0.0
Disp relaxed: 50mm,LIBERO,cosmos-policy-2b,libero_spatial,runs/eval/libero-spatial/cosmos-policy-2b/pretrained_20260424_193230,200.0,0.975,0.97,0.01,0.010256410256410256,0.029381118502897423
Disp relaxed: 50mm,LIBERO,gr00t-n1.7,libero_spatial,runs/eval/libero-spatial/gr00t-n1.7/pretrained_20260427_204948,200.0,0.975,0.97,0.005,0.005128205128205128,0.020093181293610998
Disp relaxed: 50mm,LIBERO,openvla-7b,libero_spatial,runs/eval/libero-spatial/openvla-7b/pretrained_20260508_131631,200.0,0.835,0.87,0.005,0.005988023952095809,0.12519048062518526
Disp relaxed: 50mm,LIBERO,pi0.5,libero_spatial,runs/eval/libero-spatial/pi0.5/pretrained_20260427_213334,200.0,0.99,0.985,0.005,0.005050505050505051,0.011672261376330874
Disp relaxed: 50mm,RoboCasa-365,gr00t-n1.5,robocasa365_atomic_seen,runs/eval/robocasa365-atomic-seen/gr00t-n1.5/leaderboard_v2_20260510_195000,900.0,0.4722222222222222,0.5155555555555555,0.1711111111111111,0.3623529411764706,0.23481383617377835
Disp relaxed: 50mm,RoboCasa-365,pi0.5,robocasa365_atomic_seen,runs/eval/robocasa365-atomic-seen/pi0.5/leaderboard_v2_20260511_114016,900.0,0.42333333333333334,0.5588888888888889,0.15333333333333332,0.36220472440944884,0.13066670234310318
Disp relaxed: 50mm,RoboCasa-365,pi0,robocasa365_atomic_seen,runs/eval/robocasa365-atomic-seen/pi0/leaderboard_v2_20260511_064122,900.0,0.3244444444444444,0.4488888888888889,0.12111111111111111,0.3732876712328767,0.2207107862675318
